SL.NO,Sub_Assy_part_No,REV_NO,Child_Part_No,Part_Name,801033002,Quantity,801033007,801033001S,801033006S,801032566,801032563,801032568,801032569,801032562,801032539,801032537,801032531,801032529,801032525,801032519,801032510,801033008,801032573,801032595,801032608,801032511,801032589,801032614S,801032612S,801032598,801032618,801032603,801023089,801032597,801032627S,801032638,801032625,801032619,801032601,801032652S,801032651S,801032656S,801032662,801032658S,801032665,801032697S,801032605S,801032632S,801032694,801212223,801032719S,"801032787S - WIRED RACK , 93E 500KVA Busbar Panel, O/S","801032641S - WIR RACK,93E 200KVA MBS INT O/P TRX- O/S","801032630S - WIRED RACK, 93E 160KVA MBS Int Trx-O/S","801033052S - WR, 93E 160KVA MBS, I/P Int Trx, K13, O/","801033054S - WIR RCK,93E100kVA MBS INT TRX Cu,K13,O/S","801033056S - WR ,93E 160KVA MBS,I/P Trx,W/t Trx MBS","801033057S - WR 93E, 80 kVA, MBS, IT42 TRX MBS Datson","801033059S - WR,93E 160KVA MBS,I/P Trx,W/t Trx MBS OS",Surface_Finish,Material,Qty_In_Drawing,Thickness,Width,Length,Blank_Wt,Powder_Coating_Area,Powder_Usage_in_Kgs,Assembly/Sub_part,commodity,Source,Wire_Rack/Non_Wire Rack_Parts,Revion_No,Revision_Details,Tapping,No.Of_Bends,Clinching /Riveting,Welding,METAL_STAMP ,POWDER_COATING,,,,,,,
28,373-53856,3,,SLIDE FIXED PLATE (LEFT),1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,,0,0,#N/A,0,,,,,,1,,1,,,SGCC,1,1.50,216.00,687.00,1.75,,,Assembly,Sheet Metal,ACE,Wire Rack Parts,,,,5,Y,,Y,,,,,,,,
,,,SE-BSO 3.5M3-8,Stand Off M3X8 ,2,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,2,,2,,,MS,2,1.50,,,,,,Sub Parts,Fastener,State Ent,Wire Rack Parts,,,,,,,,,,,,,,,
29,373-53857,1,,SLIDE FIXED PLATE(RIGHT),1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,,0,0,#N/A,0,,,,,,1,,1,,,SGCC,1,1.50,235.00,687.00,1.90,,,Assembly,Sheet Metal,ACE,Wire Rack Parts,,,Y,9,Y,,Y,,,,,,,,
,,,SE-BSO 3.5M3-8,Stand Off M3X8 ,8,0,0,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,8,,8,,,MS,8,1.50,,,,,,Sub Parts,Fastener,State Ent,Wire Rack Parts,,,,,,,,,,,,,,,
,,,SE-FH M4-12,Stud  M4X12,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,1,,1,,,MS,1,1.50,,,,,,Sub Parts,Fastener,State Ent,Wire Rack Parts,,,,,,,,,,,,,,,
30,373-53858,4,,SUPPORT PLATE (F-L),1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,#N/A,0,,,,,,,,,,,SGCC,1,1.50,185.00,1864.50,4.06,,,Assembly,Sheet Metal,ACE,Wire Rack Parts,,,Y,7,Y,,Y,,,,,,,,
,,,SE-SS M5-1,Clinch Nut M5-1 mm(Zinc Blue Platting),16,0,0,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,,MS,16,1.50,,,,,,Sub Parts,Fastener,State Ent,Wire Rack Parts,,,,,,,,,,,,,,,
,,,SE-S M6-1,Clinch Nut M6-1.5mm(Zinc Blue Platting),2,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,,MS,2,1.50,,,,,,Sub Parts,Fastener,State Ent,Wire Rack Parts,,,,,,,,,,,,,,,
31,373-54941,1,,,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,#N/A,0,,,,,,,,,,,SGCC,1,1.50,185.00,1864.50,4.06,,,Assembly,Sheet Metal,ACE,Wire Rack Parts,,373-53859 part no changed  for OILCAP,Y,7,Y,,Y,,,,,,,,
,,,SE-SS M5-1,Clinch Nut M5-1 mm(Zinc Blue Platting),12,0,0,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,,MS,12,1.50,,,,,,Sub Parts,Fastener,State Ent,Wire Rack Parts,updated on 10.01.2015 - M4 Clinch nut changed to M5,,,,,,,,,,,,,,
32,373-54942,1,,,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,,0,0,#N/A,0,,,,,,1,,1,,,SGCC,1,1.50,185.00,1864.50,4.06,,,Assembly,Sheet Metal,ACE,Wire Rack Parts,,373-53860 part no changed  for OILCAP,Y,7,Y,,Y,,,,,,,,
