SL.NO,Sub_Assy_part_No,REV_NO,Child_Part_No,Part_Name,801033002,Quantity,801033007,801033001S,801033006S,801032566,801032563,801032568,801032569,801032562,801032539,801032537,801032531,801032529,801032525,801032519,801032510,801033008,801032573,801032595,801032608,801032511,801032589,801032614S,801032612S,801032598,801032618,801032603,801023089,801032597,801032627S,801032638,801032625,801032619,801032601,801032652S,801032651S,801032656S,801032662,801032658S,801032665,801032697S,801032605S,801032632S,801032694,801212223,801032719S,"801032787S - WIRED RACK , 93E 500KVA Busbar Panel, O/S","801032641S - WIR RACK,93E 200KVA MBS INT O/P TRX- O/S","801032630S - WIRED RACK, 93E 160KVA MBS Int Trx-O/S","801033052S - WR, 93E 160KVA MBS, I/P Int Trx, K13, O/","801033054S - WIR RCK,93E100kVA MBS INT TRX Cu,K13,O/S","801033056S - WR ,93E 160KVA MBS,I/P Trx,W/t Trx MBS","801033057S - WR 93E, 80 kVA, MBS, IT42 TRX MBS Datson","801033059S - WR,93E 160KVA MBS,I/P Trx,W/t Trx MBS OS",Surface_Finish,Material,Qty_In_Drawing,Thickness,Width,Length,Blank_Wt,Powder_Coating_Area,Powder_Usage_in_Kgs,Assembly/Sub_part,commodity,Source,Wire_Rack/Non_Wire Rack_Parts,Revion_No,Revision_Details,Tapping,No.Of_Bends,Clinching /Riveting,Welding,METAL_STAMP ,POWDER_COATING,,,,,,,
0,,,SE-SS M5-2,Clinch Nut M5-2.0mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS ,2,2.0,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,,,SE-S M8-2,Clinch Nut M8-2.0mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS ,4,2.0,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,,,M12-Weldnut,Weld  Nut M12-2mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,2,2.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,Glore,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,,,POP CSK 3.2X8-SS,CSK POP Revit Dia3.2X8-SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,SS,8,1.20,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221141,A,0,Rear Door Clamp,0,0,0,0,0,3,3,3,3,3,3,3,3,0,3,3,0,0,3,3,3,0,3,0,3,3,3,3,3,0,3,0,0,0,3,0,0,3,3,3,3,3,3,3,#N/A,0,,,3,3,3,3,3,3,3,0,SGCC,1,1.5,63.5,260.0,0.2,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,1,0,0,Y,0,0,0,0,,,,
0,,,SE-S M4-1,Clinch Nut M4-1.0mm(Zinc Blue Platting),0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,,,6,6,2,6,6,6,6,0,MS ,2,1.0,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221142,A,0,"Breaker mount plate, Clamp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,2.0,25.0,45.0,0.0,0,0,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221143,B,0,Top cover,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,#N/A,0,,,,,,1,,1,,0,SGCC,1,1.5,445.7,846.0,4.4,0,0,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,REV A  to B,M4 Extrude added,Y,12,0,0,Y,0,0,0,0,,,,
0,801221144,A,0,lock link,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,2.0,15.0,120.0,0.03,0,0,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,2,0,0,0,0,0,0,0,,,,
0,801221145,A,0,cable tie sheet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.5,45.5,681.0,0.4,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,5,Y,0,Y,0,0,0,0,,,,
0,,,SE-SS M5-1,Clinch Nut M5-1.0mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS ,4,1.5,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221146,A,0,Support Piller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.5,85.0,1831.5,1.8,0,0,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,8,0,0,Y,0,0,0,0,,,,
0,801221148,B,0,"SMP, Rear Cover, 93E GL with Internal transformer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.2,938.4,626,5.533669728,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,REV A  to B,M5X10 CLINCH STUD ADDED,Y,8,Y,Y,Y,0,0,0,0,,,,
0,,,TPS-5X12,TPS Pin 5X12 SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,SS,3,1.5,0,0,0,0,0,Sub Parts,Fastener,Sri Venkateshwara Turning Products,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221149,A,0,"SMP, Front Cover, Fan Mount",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.2,484.3,527.4,2.406054704,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,4,Y,0,Y,0,0,0,0,,,,
0,,,SE-BSO 3.5M3-8,Stand Off M3X8 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,2,1.20,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,,,SE-BSO 3.5M4-20,Stand Off M4X20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,1,1.20,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221150,A,0,SMP. Base  to Pallet Clamp,0,0,0,0,0,2,2,2,0,2,2,2,2,0,4,4,0,0,2,2,2,0,0,0,0,2,0,0,2,0,4,0,0,2,2,0,0,0,0,2,2,0,0,0,"SMP, BASE TO PALLET CLAMP",0,,,,,,2,,2,,0,SGCC,1,3.0,105.5,240.0,0.6,0,0,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,1,0,0,Y,0,0,0,0,,,,
0,801221151,0,0,"SMP, MBS MOUNTING PLATE 550 KVA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,2.0,871.0,348.0,4.8,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,3,Y,0,Y,0,0,0,0,,,,
0,,,SE-S M8-2,Clinch Nut M8-2.0mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS ,4,2.0,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221152,A,0,"SMP, DEAD FRONT PLATE, 550 KVA IB MBS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,EN327N,SGCC,1,1.5,510.0,1810.0,10.9,1.85,0.41,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,8,Y,0,Y,0,0,0,0,,,,
0,,,SE-SO M5-14,Stand Off M5X14 T(through hole),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,4,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221154,A, ,"SMP, SUPPORT PLATE, Transformer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,2,178,460,1.3,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,4,Y,0,Y,0,0,0,0,,,,
0,,,SE-S M8-2,Clinch Nut M8-2.0mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS ,2,2.0,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221155,0,0,"REAR PANEL(40K,NO BATTERY) 1352S ETN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.2,1478.4,626,8.7,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,10,Y,Y,Y,0,0,0,0,,,,
0,,,TPS-5X12,TPS Pin 5X12 SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,SS,4,1.5,0,0,0,0,0,Sub Parts,Fastener,Sri Venkateshwara Turning Products,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221156,B,0,"SMP, FRONT PANEL, FAN COVER",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.2,877,485,4.0,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,REV A  to B,Knockout changed Bending Dim Changed,0,4,Y,0,Y,0,0,0,0,,,,
0,,,SE-BSO 3.5M3-8,Stand Off M3X8 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,2,1.20,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,,,SE-BSO 3.5M4-20,Stand Off M4X20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,1,1.20,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221157,C,0,"SMP, BOTTOM PLATE 93E 20-40KVA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,2,625,778,7.6,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,REV  B to C,M5 EXTRUDE ADDED AND 6.2 HOLE REMOVED ,Y,19,Y,Y,Y,0,0,0,0,,,,
0,,,801221157-part2,"SMP, BOTTOM PLATE 93E 20-40KVA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,SGCC,4,2,56,98,0.1,0,0,Sub Parts,Sheet Metal,ACE,Wire Rack Parts,0,0,N,3,N,0,0,0,0,0,0,,,,
0,,,801221157-part3,"SMP, BOTTOM PLATE 93E 20-40KVA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,SGCC,1,1.2,120,350,0.4,0,0,Sub Parts,Sheet Metal,ACE,Wire Rack Parts,0,0,N,0,N,0,0,0,0,0,0,,,,
0,,,M12-Weldnut,Weld  Nut M12-2mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,2,2.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,Glore,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,,,SE-S M8-2,Clinch Nut M8-2.0mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS ,21,2.0,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,,,POP CSK 3.2X8-SS,CSK POP Revit Dia3.2X8-SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,SS,8,2.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,,,SE-FH M5-10,Stud  M5X10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,6,2.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,Newly Added on 04.09.2015,0,0,0,0,0,0,0,0,0,0,,,,
0,801221158,A,0,BOTTOM PLATE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,2.00,660.60,906.00,9.40,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,20,Y,Y,Y,0,0,0,0,,,,
0,,,801221158-part1,"SMP, BOTTOM PLATE 93E 20-40KVA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,SGCC,1,2,120,350,0.7,0,0,Sub Parts,Sheet Metal,ACE,Wire Rack Parts,0,0,N,3,N,0,0,0,0,0,0,,,,
0,,,M12-Weldnut,Weld  Nut M12-2mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,4,2.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,Glore,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,,,SE-SS M5-2,Clinch Nut M5-2.0mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS ,4,2.0,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,,,SE-S M8-2,Clinch Nut M8-2.0mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS ,18,2.0,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,,,POP CSK 3.2X8-SS,CSK POP Revit Dia3.2X8-SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,SS,30,2.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221159,A,0,FRONT COVER (DOWN),0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,#N/A,0,,,,,,1,,1,,0,SGCC,1,1.20,585.60,506.30,2.79,0,0,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,4,0,0,Y,0,0,0,0,,,,
0,801221160,A,0,rear cover down,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,#N/A,0,,,,,,1,,1,,0,SGCC,1,1.2,542.6,1092.0,5.6,0,0,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,1,0,0,Y,0,0,0,0,,,,
0,801221161,A,0,support pillar,0,0,0,0,0,1,1,1,1,1,1,1,1,0,2,2,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,#N/A,0,,,,,,1,,1,,0,SGCC,1,1.5,174.0,1854.5,3.8,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,7,Y,0,Y,0,0,0,0,,,,
0,,,SE-SS M5-1,Clinch Nut M5-1.0mm(Zinc Blue Platting),0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,13,,13,,0,MS ,13,1.5,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221163,A,0,Resistor Mount Plate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.5,420,626,3.1,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,8,Y,0,Y,0,0,0,0,,,,
0,,,SE-S M6-1,Clinch Nut M6-1.0mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS ,12,1.5,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221164,B,0,"SMP, FRONTCOVER, FAN MOUNT 30KVA GL WITH INT TRX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.2,747.8,488.3,3.4,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,REV A  to B,Knockout changed Bending Dim Changed,0,4,Y,0,Y,0,0,0,0,,,,
0,,,SE-BSO 3.5M3-8,Stand Off M3X8 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,2,1.20,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,,,SE-BSO 3.5M4-20,Stand Off M4X20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,1,1.20,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221165,A,0,"SMP,REAR COVER,93E 30KVA GL WITH INT TRX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.2,1208.4,638.0,7.262435664,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,8,Y,Y,Y,0,0,0,0,,,,
0,,,TPS-5X12,TPS Pin 5X12 SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,SS,5,1.5,0,0,0,0,0,Sub Parts,Fastener,Sri Venkateshwara Turning Products,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221166,0,0,"SMP, MIS Mounting plate 550 kVA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,2.0,871.0,352.0,4.8,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,3,Y,0,Y,0,0,0,0,,,,
0,,,SE-S M8-2,Clinch Nut M8-2.0mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS ,4,2.0,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221167,A,0,base frame MBS int transformer,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,#N/A,0,,,,,,1,,1,,0,SGCC,1,3.00,0.00,0.00,0.00,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,34,Y,Y,Y,0,0,0,0,,,,
0,,,801221167- Part B,base frame MBS int transformer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,,1,,0,SGCC,1,3.0,986.6,906.0,21.1,0,0,Sub Parts,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,8,Y,Y,0,0,0,0,0,,,,
0,,,801221167- Part A,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,2,,2,,0,SGCC,2,2.0,113.0,743.1,1.3,0,0,Sub Parts,Sheet Metal,ACE,Wire Rack Parts,0,0,N,3,N,0,0,0,0,0,0,,,,
0,,,801221167- Part C,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,,1,,0,SGCC,1,2.0,161.0,735.0,1.9,0,0,Sub Parts,Sheet Metal,ACE,Wire Rack Parts,0,0,N,4,N,0,0,0,0,0,0,,,,
0,,,801221167- Part D,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,,1,,0,SGCC,1,2.0,107.0,700.0,1.2,0,0,Sub Parts,Sheet Metal,ACE,Wire Rack Parts,0,0,N,4,N,0,0,0,0,0,0,,,,
